report_name,report_agency,date,visits,browser,os_version
Windows version and browser,Department of Agriculture,2/12/24,219,Chrome,8.1
Windows version and browser,Department of Agriculture,2/12/24,102,Edge,7
Windows version and browser,Department of Agriculture,2/11/24,47980,Chrome,10
Windows version and browser,Department of Agriculture,2/11/24,15667,Edge,10
Windows version and browser,Department of Agriculture,2/11/24,3256,Firefox,10
Windows version and browser,Department of Agriculture,2/11/24,534,Opera,10
Windows version and browser,Department of Agriculture,2/11/24,170,Firefox,7
Windows version and browser,Department of Agriculture,2/11/24,154,Chrome,8.1
Windows version and browser,Department of Agriculture,2/11/24,151,Chrome,7
Windows version and browser,Department of Agriculture,2/10/24,48689,Chrome,10
Windows version and browser,Department of Agriculture,2/10/24,14664,Edge,10
Windows version and browser,Department of Agriculture,2/10/24,3058,Firefox,10
Windows version and browser,Department of Agriculture,2/10/24,527,Opera,10
Windows version and browser,Department of Agriculture,2/10/24,446,Chrome,7
Windows version and browser,Department of Agriculture,2/10/24,221,Firefox,7
Windows version and browser,Department of Agriculture,2/10/24,112,Chrome,8.1
Windows version and browser,Department of Agriculture,2/9/24,176314,Chrome,10
Windows version and browser,Department of Agriculture,2/9/24,60036,Edge,10
Windows version and browser,Department of Agriculture,2/9/24,6068,Firefox,10
Windows version and browser,Department of Agriculture,2/9/24,585,Opera,10
Windows version and browser,Department of Agriculture,2/9/24,525,Chrome,7
Windows version and browser,Department of Agriculture,2/9/24,480,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/9/24,215,Firefox,7
Windows version and browser,Department of Agriculture,2/9/24,190,Chrome,8.1
Windows version and browser,Department of Agriculture,2/8/24,206965,Chrome,10
Windows version and browser,Department of Agriculture,2/8/24,77901,Edge,10
Windows version and browser,Department of Agriculture,2/8/24,7662,Firefox,10
Windows version and browser,Department of Agriculture,2/8/24,722,Opera,10
Windows version and browser,Department of Agriculture,2/8/24,550,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/8/24,282,Chrome,7
Windows version and browser,Department of Agriculture,2/8/24,264,Chrome,8.1
Windows version and browser,Department of Agriculture,2/8/24,261,Firefox,7
Windows version and browser,Department of Agriculture,2/8/24,107,Internet Explorer,10
Windows version and browser,Department of Agriculture,2/8/24,102,Edge,7
Windows version and browser,Department of Agriculture,2/7/24,200768,Chrome,10
Windows version and browser,Department of Agriculture,2/7/24,75996,Edge,10
Windows version and browser,Department of Agriculture,2/7/24,7457,Firefox,10
Windows version and browser,Department of Agriculture,2/7/24,697,Opera,10
Windows version and browser,Department of Agriculture,2/7/24,493,Chrome,7
Windows version and browser,Department of Agriculture,2/7/24,346,Firefox,7
Windows version and browser,Department of Agriculture,2/7/24,214,Chrome,8.1
Windows version and browser,Department of Agriculture,2/7/24,169,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/7/24,108,Internet Explorer,10
Windows version and browser,Department of Agriculture,2/6/24,220868,Chrome,10
Windows version and browser,Department of Agriculture,2/6/24,74628,Edge,10
Windows version and browser,Department of Agriculture,2/6/24,7239,Firefox,10
Windows version and browser,Department of Agriculture,2/6/24,663,Opera,10
Windows version and browser,Department of Agriculture,2/6/24,513,Chrome,7
Windows version and browser,Department of Agriculture,2/6/24,482,Firefox,7
Windows version and browser,Department of Agriculture,2/6/24,202,Chrome,8.1
Windows version and browser,Department of Agriculture,2/6/24,202,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/6/24,120,Internet Explorer,10
Windows version and browser,Department of Agriculture,2/5/24,181278,Chrome,10
Windows version and browser,Department of Agriculture,2/5/24,79119,Edge,10
Windows version and browser,Department of Agriculture,2/5/24,7634,Firefox,10
Windows version and browser,Department of Agriculture,2/5/24,775,Opera,10
Windows version and browser,Department of Agriculture,2/5/24,399,Chrome,7
Windows version and browser,Department of Agriculture,2/5/24,381,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/5/24,346,Firefox,7
Windows version and browser,Department of Agriculture,2/5/24,266,Chrome,8.1
Windows version and browser,Department of Agriculture,2/5/24,117,Internet Explorer,10
Windows version and browser,Department of Agriculture,2/5/24,108,Edge,7
Windows version and browser,Department of Agriculture,2/4/24,56201,Chrome,10
Windows version and browser,Department of Agriculture,2/4/24,19309,Edge,10
Windows version and browser,Department of Agriculture,2/4/24,3857,Firefox,10
Windows version and browser,Department of Agriculture,2/4/24,1015,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/4/24,560,Opera,10
Windows version and browser,Department of Agriculture,2/4/24,453,Chrome,7
Windows version and browser,Department of Agriculture,2/4/24,379,Firefox,7
Windows version and browser,Department of Agriculture,2/4/24,220,Chrome,8.1
Windows version and browser,Department of Agriculture,2/4/24,125,Internet Explorer,CE
Windows version and browser,Department of Agriculture,2/4/24,101,Internet Explorer,10
Windows version and browser,Department of Agriculture,2/3/24,44456,Chrome,10
Windows version and browser,Department of Agriculture,2/3/24,15980,Edge,10
Windows version and browser,Department of Agriculture,2/3/24,3114,Firefox,10
Windows version and browser,Department of Agriculture,2/3/24,455,Opera,10
Windows version and browser,Department of Agriculture,2/3/24,354,Firefox,7
Windows version and browser,Department of Agriculture,2/3/24,337,Chrome,7
Windows version and browser,Department of Agriculture,2/3/24,298,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/3/24,148,Chrome,8.1
Windows version and browser,Department of Agriculture,2/2/24,138137,Chrome,10
Windows version and browser,Department of Agriculture,2/2/24,62811,Edge,10
Windows version and browser,Department of Agriculture,2/2/24,6421,Firefox,10
Windows version and browser,Department of Agriculture,2/2/24,636,Firefox,7
Windows version and browser,Department of Agriculture,2/2/24,562,Opera,10
Windows version and browser,Department of Agriculture,2/2/24,369,Chrome,7
Windows version and browser,Department of Agriculture,2/2/24,203,Chrome,8.1
Windows version and browser,Department of Agriculture,2/2/24,188,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/2/24,127,Internet Explorer,10
Windows version and browser,Department of Agriculture,2/2/24,111,Internet Explorer,CE
Windows version and browser,Department of Agriculture,2/2/24,105,Opera,7
Windows version and browser,Department of Agriculture,2/2/24,104,Edge,7
Windows version and browser,Department of Agriculture,2/1/24,194946,Chrome,10
Windows version and browser,Department of Agriculture,2/1/24,74773,Edge,10
Windows version and browser,Department of Agriculture,2/1/24,7192,Firefox,10
Windows version and browser,Department of Agriculture,2/1/24,704,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/1/24,662,Opera,10
Windows version and browser,Department of Agriculture,2/1/24,461,Firefox,7
Windows version and browser,Department of Agriculture,2/1/24,437,Chrome,7
Windows version and browser,Department of Agriculture,2/1/24,257,Chrome,8.1
Windows version and browser,Department of Agriculture,2/1/24,141,Internet Explorer,10
Windows version and browser,Department of Agriculture,2/1/24,101,Opera,7
Windows version and browser,Department of Agriculture,3/31/24,44828,Chrome,10
Windows version and browser,Department of Agriculture,3/31/24,14083,Edge,10
Windows version and browser,Department of Agriculture,3/31/24,3415,Firefox,10
Windows version and browser,Department of Agriculture,3/31/24,1044,Internet Explorer,8
Windows version and browser,Department of Agriculture,3/31/24,828,Opera,10
Windows version and browser,Department of Agriculture,3/31/24,273,Chrome,7
Windows version and browser,Department of Agriculture,3/31/24,194,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,3/31/24,140,Chrome,8.1
Windows version and browser,Department of Agriculture,3/31/24,131,Firefox,7
Windows version and browser,Department of Agriculture,3/30/24,40881,Chrome,10
Windows version and browser,Department of Agriculture,3/30/24,13016,Edge,10
Windows version and browser,Department of Agriculture,3/30/24,3415,Firefox,10
Windows version and browser,Department of Agriculture,3/30/24,801,Opera,10
Windows version and browser,Department of Agriculture,3/30/24,283,Internet Explorer,8
Windows version and browser,Department of Agriculture,3/30/24,231,Chrome,7
Windows version and browser,Department of Agriculture,3/30/24,184,Firefox,7
Windows version and browser,Department of Agriculture,3/30/24,126,Chrome,8.1
Windows version and browser,Department of Agriculture,3/29/24,124625,Chrome,10
Windows version and browser,Department of Agriculture,3/29/24,48233,Edge,10
Windows version and browser,Department of Agriculture,3/29/24,6019,Firefox,10
Windows version and browser,Department of Agriculture,3/29/24,1295,Opera,10
Windows version and browser,Department of Agriculture,3/29/24,591,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,3/29/24,420,Chrome,7
Windows version and browser,Department of Agriculture,3/29/24,294,Chrome,8.1
Windows version and browser,Department of Agriculture,3/29/24,285,Firefox,7
Windows version and browser,Department of Agriculture,3/28/24,176247,Chrome,10
Windows version and browser,Department of Agriculture,3/28/24,69431,Edge,10
Windows version and browser,Department of Agriculture,3/28/24,7277,Firefox,10
Windows version and browser,Department of Agriculture,3/28/24,811,Opera,10
Windows version and browser,Department of Agriculture,3/28/24,440,Chrome,7
Windows version and browser,Department of Agriculture,3/28/24,270,Chrome,8.1
Windows version and browser,Department of Agriculture,3/28/24,269,Firefox,7
Windows version and browser,Department of Agriculture,3/28/24,130,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,3/27/24,159944,Chrome,10
Windows version and browser,Department of Agriculture,3/27/24,71481,Edge,10
Windows version and browser,Department of Agriculture,3/27/24,8257,Firefox,10
Windows version and browser,Department of Agriculture,3/27/24,1356,Opera,10
Windows version and browser,Department of Agriculture,3/27/24,511,Chrome,7
Windows version and browser,Department of Agriculture,3/27/24,340,Firefox,7
Windows version and browser,Department of Agriculture,3/27/24,214,Chrome,8.1
Windows version and browser,Department of Agriculture,3/26/24,178222,Chrome,10
Windows version and browser,Department of Agriculture,3/26/24,75097,Edge,10
Windows version and browser,Department of Agriculture,3/26/24,8600,Firefox,10
Windows version and browser,Department of Agriculture,3/26/24,1425,Opera,10
Windows version and browser,Department of Agriculture,3/26/24,756,Chrome,7
Windows version and browser,Department of Agriculture,3/26/24,402,Internet Explorer,8
Windows version and browser,Department of Agriculture,3/26/24,316,Firefox,7
Windows version and browser,Department of Agriculture,3/26/24,231,Chrome,8.1
Windows version and browser,Department of Agriculture,3/26/24,112,Internet Explorer,10
Windows version and browser,Department of Agriculture,3/25/24,197389,Chrome,10
Windows version and browser,Department of Agriculture,3/25/24,78008,Edge,10
Windows version and browser,Department of Agriculture,3/25/24,7749,Firefox,10
Windows version and browser,Department of Agriculture,3/25/24,714,Opera,10
Windows version and browser,Department of Agriculture,3/25/24,711,Chrome,7
Windows version and browser,Department of Agriculture,3/25/24,256,Firefox,7
Windows version and browser,Department of Agriculture,3/25/24,206,Chrome,8.1
Windows version and browser,Department of Agriculture,3/24/24,61603,Chrome,10
Windows version and browser,Department of Agriculture,3/24/24,17853,Edge,10
Windows version and browser,Department of Agriculture,3/24/24,3751,Firefox,10
Windows version and browser,Department of Agriculture,3/24/24,618,Opera,10
Windows version and browser,Department of Agriculture,3/24/24,214,Chrome,7
Windows version and browser,Department of Agriculture,3/24/24,158,Firefox,7
Windows version and browser,Department of Agriculture,3/24/24,131,Chrome,8.1
Windows version and browser,Department of Agriculture,3/24/24,126,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,3/23/24,52886,Chrome,10
Windows version and browser,Department of Agriculture,3/23/24,15131,Edge,10
Windows version and browser,Department of Agriculture,3/23/24,3271,Firefox,10
Windows version and browser,Department of Agriculture,3/23/24,437,Opera,10
Windows version and browser,Department of Agriculture,3/23/24,310,Chrome,7
Windows version and browser,Department of Agriculture,3/23/24,152,Firefox,7
Windows version and browser,Department of Agriculture,3/23/24,127,Chrome,8.1
Windows version and browser,Department of Agriculture,3/22/24,152885,Chrome,10
Windows version and browser,Department of Agriculture,3/22/24,57546,Edge,10
Windows version and browser,Department of Agriculture,3/22/24,6428,Firefox,10
Windows version and browser,Department of Agriculture,3/22/24,1030,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,3/22/24,585,Opera,10
Windows version and browser,Department of Agriculture,3/22/24,417,Chrome,7
Windows version and browser,Department of Agriculture,3/22/24,223,Chrome,8.1
Windows version and browser,Department of Agriculture,3/22/24,199,Firefox,7
Windows version and browser,Department of Agriculture,3/21/24,171638,Chrome,10
Windows version and browser,Department of Agriculture,3/21/24,70524,Edge,10
Windows version and browser,Department of Agriculture,3/21/24,7357,Firefox,10
Windows version and browser,Department of Agriculture,3/21/24,730,Opera,10
Windows version and browser,Department of Agriculture,3/21/24,290,Chrome,7
Windows version and browser,Department of Agriculture,3/21/24,253,Chrome,8.1
Windows version and browser,Department of Agriculture,3/21/24,229,Firefox,7
Windows version and browser,Department of Agriculture,3/21/24,174,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,3/21/24,103,Internet Explorer,10
Windows version and browser,Department of Agriculture,3/20/24,168376,Chrome,10
Windows version and browser,Department of Agriculture,3/20/24,72448,Edge,10
Windows version and browser,Department of Agriculture,3/20/24,7598,Firefox,10
Windows version and browser,Department of Agriculture,3/20/24,732,Opera,10
Windows version and browser,Department of Agriculture,3/20/24,555,Chrome,7
Windows version and browser,Department of Agriculture,3/20/24,277,Firefox,7
Windows version and browser,Department of Agriculture,3/20/24,250,Chrome,8.1
Windows version and browser,Department of Agriculture,3/20/24,231,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,3/20/24,110,Internet Explorer,10
Windows version and browser,Department of Agriculture,3/19/24,165796,Chrome,10
Windows version and browser,Department of Agriculture,3/19/24,72995,Edge,10
Windows version and browser,Department of Agriculture,3/19/24,7684,Firefox,10
Windows version and browser,Department of Agriculture,3/19/24,760,Opera,10
Windows version and browser,Department of Agriculture,3/19/24,599,Chrome,7
Windows version and browser,Department of Agriculture,3/19/24,321,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,3/19/24,266,Firefox,7
Windows version and browser,Department of Agriculture,3/19/24,198,Chrome,8.1
Windows version and browser,Department of Agriculture,3/19/24,109,Internet Explorer,10
Windows version and browser,Department of Agriculture,3/18/24,171557,Chrome,10
Windows version and browser,Department of Agriculture,3/18/24,75451,Edge,10
Windows version and browser,Department of Agriculture,3/18/24,7847,Firefox,10
Windows version and browser,Department of Agriculture,3/18/24,802,Opera,10
Windows version and browser,Department of Agriculture,3/18/24,291,Chrome,7
Windows version and browser,Department of Agriculture,3/18/24,267,Firefox,7
Windows version and browser,Department of Agriculture,3/18/24,207,Chrome,8.1
Windows version and browser,Department of Agriculture,3/17/24,55459,Chrome,10
Windows version and browser,Department of Agriculture,3/17/24,17436,Edge,10
Windows version and browser,Department of Agriculture,3/17/24,3685,Firefox,10
Windows version and browser,Department of Agriculture,3/17/24,610,Chrome,7
Windows version and browser,Department of Agriculture,3/17/24,588,Opera,10
Windows version and browser,Department of Agriculture,3/17/24,224,Firefox,7
Windows version and browser,Department of Agriculture,3/17/24,205,Chrome,8.1
Windows version and browser,Department of Agriculture,3/17/24,124,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,3/16/24,44199,Chrome,10
Windows version and browser,Department of Agriculture,3/16/24,14173,Edge,10
Windows version and browser,Department of Agriculture,3/16/24,3123,Firefox,10
Windows version and browser,Department of Agriculture,3/16/24,582,Chrome,7
Windows version and browser,Department of Agriculture,3/16/24,485,Opera,10
Windows version and browser,Department of Agriculture,3/16/24,266,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,3/16/24,168,Chrome,8.1
Windows version and browser,Department of Agriculture,3/16/24,167,Firefox,7
Windows version and browser,Department of Agriculture,3/15/24,170482,Chrome,10
Windows version and browser,Department of Agriculture,3/15/24,57740,Edge,10
Windows version and browser,Department of Agriculture,3/15/24,6279,Firefox,10
Windows version and browser,Department of Agriculture,3/15/24,637,Chrome,7
Windows version and browser,Department of Agriculture,3/15/24,624,Opera,10
Windows version and browser,Department of Agriculture,3/15/24,370,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,3/15/24,231,Firefox,7
Windows version and browser,Department of Agriculture,3/15/24,211,Chrome,8.1
Windows version and browser,Department of Agriculture,3/14/24,222834,Chrome,10
Windows version and browser,Department of Agriculture,3/14/24,68941,Edge,10
Windows version and browser,Department of Agriculture,3/14/24,7249,Firefox,10
Windows version and browser,Department of Agriculture,3/14/24,667,Opera,10
Windows version and browser,Department of Agriculture,3/14/24,489,Chrome,7
Windows version and browser,Department of Agriculture,3/14/24,258,Firefox,7
Windows version and browser,Department of Agriculture,3/14/24,246,Chrome,8.1
Windows version and browser,Department of Agriculture,3/14/24,222,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,3/14/24,105,Internet Explorer,10
Windows version and browser,Department of Agriculture,3/13/24,151926,Chrome,10
Windows version and browser,Department of Agriculture,3/13/24,70058,Edge,10
Windows version and browser,Department of Agriculture,3/13/24,7255,Firefox,10
Windows version and browser,Department of Agriculture,3/13/24,725,Opera,10
Windows version and browser,Department of Agriculture,3/13/24,684,Chrome,7
Windows version and browser,Department of Agriculture,3/13/24,509,Firefox,7
Windows version and browser,Department of Agriculture,3/13/24,242,Chrome,8.1
Windows version and browser,Department of Agriculture,3/12/24,169949,Chrome,10
Windows version and browser,Department of Agriculture,3/12/24,74166,Edge,10
Windows version and browser,Department of Agriculture,3/12/24,7561,Firefox,10
Windows version and browser,Department of Agriculture,3/12/24,720,Opera,10
Windows version and browser,Department of Agriculture,3/12/24,500,Chrome,7
Windows version and browser,Department of Agriculture,3/12/24,422,Firefox,7
Windows version and browser,Department of Agriculture,3/12/24,253,Chrome,8.1
Windows version and browser,Department of Agriculture,3/11/24,187969,Chrome,10
Windows version and browser,Department of Agriculture,3/11/24,80211,Edge,10
Windows version and browser,Department of Agriculture,3/11/24,7901,Firefox,10
Windows version and browser,Department of Agriculture,3/11/24,792,Chrome,7
Windows version and browser,Department of Agriculture,3/11/24,650,Opera,10
Windows version and browser,Department of Agriculture,3/11/24,378,Firefox,7
Windows version and browser,Department of Agriculture,3/11/24,204,Chrome,8.1
Windows version and browser,Department of Agriculture,3/10/24,50655,Chrome,10
Windows version and browser,Department of Agriculture,3/10/24,17165,Edge,10
Windows version and browser,Department of Agriculture,3/10/24,3629,Firefox,10
Windows version and browser,Department of Agriculture,3/10/24,526,Opera,10
Windows version and browser,Department of Agriculture,3/10/24,476,Chrome,7
Windows version and browser,Department of Agriculture,3/10/24,374,Firefox,7
Windows version and browser,Department of Agriculture,3/10/24,222,Chrome,8.1
Windows version and browser,Department of Agriculture,3/9/24,43918,Chrome,10
Windows version and browser,Department of Agriculture,3/9/24,16080,Edge,10
Windows version and browser,Department of Agriculture,3/9/24,3184,Firefox,10
Windows version and browser,Department of Agriculture,3/9/24,497,Opera,10
Windows version and browser,Department of Agriculture,3/9/24,431,Firefox,7
Windows version and browser,Department of Agriculture,3/9/24,216,Chrome,8.1
Windows version and browser,Department of Agriculture,3/9/24,182,Chrome,7
Windows version and browser,Department of Agriculture,3/9/24,105,Internet Explorer,8
Windows version and browser,Department of Agriculture,3/8/24,156586,Chrome,10
Windows version and browser,Department of Agriculture,3/8/24,61003,Edge,10
Windows version and browser,Department of Agriculture,3/8/24,6583,Firefox,10
Windows version and browser,Department of Agriculture,3/8/24,1194,Internet Explorer,8
Windows version and browser,Department of Agriculture,3/8/24,577,Opera,10
Windows version and browser,Department of Agriculture,3/8/24,489,Chrome,7
Windows version and browser,Department of Agriculture,3/8/24,299,Chrome,8.1
Windows version and browser,Department of Agriculture,3/8/24,296,Firefox,7
Windows version and browser,Department of Agriculture,3/8/24,110,Internet Explorer,10
Windows version and browser,Department of Agriculture,3/7/24,191369,Chrome,10
Windows version and browser,Department of Agriculture,3/7/24,73624,Edge,10
Windows version and browser,Department of Agriculture,3/7/24,7508,Firefox,10
Windows version and browser,Department of Agriculture,3/7/24,727,Opera,10
Windows version and browser,Department of Agriculture,3/7/24,441,Chrome,7
Windows version and browser,Department of Agriculture,3/7/24,341,Firefox,7
Windows version and browser,Department of Agriculture,3/7/24,269,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,3/7/24,232,Chrome,8.1
Windows version and browser,Department of Agriculture,3/7/24,102,Internet Explorer,10
Windows version and browser,Department of Agriculture,3/6/24,186596,Chrome,10
Windows version and browser,Department of Agriculture,3/6/24,75250,Edge,10
Windows version and browser,Department of Agriculture,3/6/24,8180,Firefox,10
Windows version and browser,Department of Agriculture,3/6/24,789,Chrome,7
Windows version and browser,Department of Agriculture,3/6/24,727,Opera,10
Windows version and browser,Department of Agriculture,3/6/24,482,Firefox,7
Windows version and browser,Department of Agriculture,3/6/24,311,Internet Explorer,8
Windows version and browser,Department of Agriculture,3/6/24,219,Chrome,8.1
Windows version and browser,Department of Agriculture,3/6/24,101,Internet Explorer,10
Windows version and browser,Department of Agriculture,3/5/24,182151,Chrome,10
Windows version and browser,Department of Agriculture,3/5/24,78810,Edge,10
Windows version and browser,Department of Agriculture,3/5/24,8407,Firefox,10
Windows version and browser,Department of Agriculture,3/5/24,915,Internet Explorer,8
Windows version and browser,Department of Agriculture,3/5/24,689,Opera,10
Windows version and browser,Department of Agriculture,3/5/24,465,Chrome,7
Windows version and browser,Department of Agriculture,3/5/24,363,Firefox,7
Windows version and browser,Department of Agriculture,3/5/24,228,Chrome,8.1
Windows version and browser,Department of Agriculture,3/5/24,105,Edge,7
Windows version and browser,Department of Agriculture,3/5/24,102,Internet Explorer,10
Windows version and browser,Department of Agriculture,3/4/24,189492,Chrome,10
Windows version and browser,Department of Agriculture,3/4/24,82664,Edge,10
Windows version and browser,Department of Agriculture,3/4/24,7995,Firefox,10
Windows version and browser,Department of Agriculture,3/4/24,736,Opera,10
Windows version and browser,Department of Agriculture,3/4/24,444,Firefox,7
Windows version and browser,Department of Agriculture,3/4/24,357,Chrome,7
Windows version and browser,Department of Agriculture,3/4/24,215,Chrome,8.1
Windows version and browser,Department of Agriculture,3/4/24,125,Edge,7
Windows version and browser,Department of Agriculture,3/4/24,119,Internet Explorer,10
Windows version and browser,Department of Agriculture,3/3/24,56361,Chrome,10
Windows version and browser,Department of Agriculture,3/3/24,18662,Edge,10
Windows version and browser,Department of Agriculture,3/3/24,3803,Firefox,10
Windows version and browser,Department of Agriculture,3/3/24,635,Opera,10
Windows version and browser,Department of Agriculture,3/3/24,513,Chrome,7
Windows version and browser,Department of Agriculture,3/3/24,412,Firefox,7
Windows version and browser,Department of Agriculture,3/3/24,243,Chrome,8.1
Windows version and browser,Department of Agriculture,3/3/24,112,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,3/3/24,105,Internet Explorer,10
Windows version and browser,Department of Agriculture,3/2/24,46151,Chrome,10
Windows version and browser,Department of Agriculture,3/2/24,15974,Edge,10
Windows version and browser,Department of Agriculture,3/2/24,3429,Firefox,10
Windows version and browser,Department of Agriculture,3/2/24,514,Opera,10
Windows version and browser,Department of Agriculture,3/2/24,513,Chrome,7
Windows version and browser,Department of Agriculture,3/2/24,228,Firefox,7
Windows version and browser,Department of Agriculture,3/2/24,177,Chrome,8.1
Windows version and browser,Department of Agriculture,3/1/24,139449,Chrome,10
Windows version and browser,Department of Agriculture,3/1/24,62353,Edge,10
Windows version and browser,Department of Agriculture,3/1/24,6561,Firefox,10
Windows version and browser,Department of Agriculture,3/1/24,589,Opera,10
Windows version and browser,Department of Agriculture,3/1/24,385,Firefox,7
Windows version and browser,Department of Agriculture,3/1/24,284,Chrome,7
Windows version and browser,Department of Agriculture,3/1/24,238,Chrome,8.1
Windows version and browser,Department of Agriculture,3/1/24,182,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,3/1/24,113,Internet Explorer,10
Windows version and browser,Department of Agriculture,4/30/24,144040,Chrome,10
Windows version and browser,Department of Agriculture,4/30/24,67729,Edge,10
Windows version and browser,Department of Agriculture,4/30/24,7170,Firefox,10
Windows version and browser,Department of Agriculture,4/30/24,674,Opera,10
Windows version and browser,Department of Agriculture,4/30/24,226,Chrome,8.1
Windows version and browser,Department of Agriculture,4/30/24,215,Firefox,7
Windows version and browser,Department of Agriculture,4/30/24,183,Chrome,7
Windows version and browser,Department of Agriculture,4/29/24,162454,Chrome,10
Windows version and browser,Department of Agriculture,4/29/24,72539,Edge,10
Windows version and browser,Department of Agriculture,4/29/24,7561,Firefox,10
Windows version and browser,Department of Agriculture,4/29/24,778,Opera,10
Windows version and browser,Department of Agriculture,4/29/24,388,Chrome,7
Windows version and browser,Department of Agriculture,4/29/24,196,Firefox,7
Windows version and browser,Department of Agriculture,4/29/24,164,Chrome,8.1
Windows version and browser,Department of Agriculture,4/28/24,59520,Chrome,10
Windows version and browser,Department of Agriculture,4/28/24,17626,Edge,10
Windows version and browser,Department of Agriculture,4/28/24,3778,Firefox,10
Windows version and browser,Department of Agriculture,4/28/24,590,Opera,10
Windows version and browser,Department of Agriculture,4/28/24,194,Chrome,7
Windows version and browser,Department of Agriculture,4/28/24,138,Firefox,7
Windows version and browser,Department of Agriculture,4/28/24,114,Chrome,8.1
Windows version and browser,Department of Agriculture,4/27/24,41908,Chrome,10
Windows version and browser,Department of Agriculture,4/27/24,14473,Edge,10
Windows version and browser,Department of Agriculture,4/27/24,3312,Firefox,10
Windows version and browser,Department of Agriculture,4/27/24,511,Opera,10
Windows version and browser,Department of Agriculture,4/27/24,182,Chrome,7
Windows version and browser,Department of Agriculture,4/27/24,129,Firefox,7
Windows version and browser,Department of Agriculture,4/27/24,121,Chrome,8.1
Windows version and browser,Department of Agriculture,4/26/24,121151,Chrome,10
Windows version and browser,Department of Agriculture,4/26/24,55795,Edge,10
Windows version and browser,Department of Agriculture,4/26/24,6158,Firefox,10
Windows version and browser,Department of Agriculture,4/26/24,607,Opera,10
Windows version and browser,Department of Agriculture,4/26/24,259,Firefox,7
Windows version and browser,Department of Agriculture,4/26/24,251,Chrome,7
Windows version and browser,Department of Agriculture,4/26/24,176,Chrome,8.1
Windows version and browser,Department of Agriculture,4/25/24,144590,Chrome,10
Windows version and browser,Department of Agriculture,4/25/24,65891,Edge,10
Windows version and browser,Department of Agriculture,4/25/24,6898,Firefox,10
Windows version and browser,Department of Agriculture,4/25/24,709,Opera,10
Windows version and browser,Department of Agriculture,4/25/24,326,Chrome,7
Windows version and browser,Department of Agriculture,4/25/24,296,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,4/25/24,223,Firefox,7
Windows version and browser,Department of Agriculture,4/25/24,154,Chrome,8.1
Windows version and browser,Department of Agriculture,4/24/24,150087,Chrome,10
Windows version and browser,Department of Agriculture,4/24/24,68707,Edge,10
Windows version and browser,Department of Agriculture,4/24/24,7365,Firefox,10
Windows version and browser,Department of Agriculture,4/24/24,777,Opera,10
Windows version and browser,Department of Agriculture,4/24/24,313,Chrome,7
Windows version and browser,Department of Agriculture,4/24/24,239,Firefox,7
Windows version and browser,Department of Agriculture,4/24/24,179,Chrome,8.1
Windows version and browser,Department of Agriculture,4/24/24,110,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,4/23/24,152502,Chrome,10
Windows version and browser,Department of Agriculture,4/23/24,68782,Edge,10
Windows version and browser,Department of Agriculture,4/23/24,7363,Firefox,10
Windows version and browser,Department of Agriculture,4/23/24,789,Opera,10
Windows version and browser,Department of Agriculture,4/23/24,437,Chrome,7
Windows version and browser,Department of Agriculture,4/23/24,222,Firefox,7
Windows version and browser,Department of Agriculture,4/23/24,155,Chrome,8.1
Windows version and browser,Department of Agriculture,4/23/24,105,Internet Explorer,10
Windows version and browser,Department of Agriculture,4/22/24,158569,Chrome,10
Windows version and browser,Department of Agriculture,4/22/24,74957,Edge,10
Windows version and browser,Department of Agriculture,4/22/24,8147,Firefox,10
Windows version and browser,Department of Agriculture,4/22/24,817,Opera,10
Windows version and browser,Department of Agriculture,4/22/24,338,Chrome,7
Windows version and browser,Department of Agriculture,4/22/24,250,Firefox,7
Windows version and browser,Department of Agriculture,4/22/24,180,Chrome,8.1
Windows version and browser,Department of Agriculture,4/22/24,107,Internet Explorer,10
